step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
428,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: DEGREE WITH VERBS,"Can use an increasing range of degree adverbs ('a little', 'a bit') with verbs to indicate degree or intensity. ► determiners","When I came to England, one year ago, I didn't know any English word, now I'm very happy because I don't speak very well but I can understand and speak a little.",2.0
429,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: LINKING,"Can use an increasing range of adverbs ('therefore', 'furthermore', 'otherwise') to show a relationship between two clauses or sentences.","You don't like city's with a lot of people. Therefore I suggest you go to a small school in the countryside, near your new home.",2.0
430,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: FOCUS,"Can use an increasing range of focusing adverbs ('particularly', 'especially') to point to or highlight something. ► adverbs: position",I usually read in my free time but particularly in the evenings before I go to the bed.,2.0
431,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: ORGANISING ,Can use adverbs as discourse markers to organise text.  ►  adverbs: position ►  Discourse markers,"Firstly, I advise you to visit both schools.",2.0
432,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: STANCE,"Can use an increasing range of adverbs ('completely', 'obviously', 'clearly', 'actually', 'luckily', 'honestly', 'sadly', 'basically', 'obviously', 'hopefully') to indicate an attitude or viewpoint.",I am completely sure.,2.0
433,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: CERTAINTY,Can use an increasing range of adverbs to indicate degrees of certainty.,[talking about a film] And it will probably be on TV next month!,2.0
434,B1,ADVERBS,adverbs as modifiers,"FORM: MANNER, MODIFYING VERBS  ",Can use an increasing range of manner adverbs to modify verbs.,You have to choose carefully.,2.0
435,B1,ADVERBS,adverbs as modifiers,"FORM: DEGREE, MODIFYING ADVERBS",Can use a limited range of degree adverbs to modify adverbs. ► adverb phrases: form,We left really early on a Friday morning.,1.0
436,B1,ADVERBS,adverbs as modifiers,"FORM/USE: MODIFYING CLAUSES, STANCE",Can use adverbs to modify clauses and sentences to indicate stance or attitude.,"But, obviously, you prefer going with your friends because you will have a better time.",2.0
437,B1,CLAUSES,comparatives,FORM: FINITE AFTER 'THAN',Can use 'than' + a finite clause forming the second part of a comparison after a comparative adjective,I wish our schools could become better than they are. (Georgia (Republic of); B1 THRESHOLD; 2007; Georgian; Pass),
438,B1,CLAUSES,comparatives,FORM/USE: NON-FINITE AFTER 'THAN',"Can use 'than' + a limited range of non-finite clauses (with -ing), forming the second part of a comparison after a comparative adjective","Well, If I were you I would go to a small school in the countryside because it's less complicated than going to a large school in a town.",1.0
439,B1,CLAUSES,comparatives,FORM/USE: 'RATHER THAN' + PHRASE,Can use 'rather than' + noun phrase or prepositional phrase to stress one element in a comparison.,"Use the stairs rather than the lift, the bike rather than the tube and whenever you've got enough time, try running around the neighbourhood in the morning before going to work.",
440,B1,CLAUSES,comparatives,FORM/USE: 'AS … AS',Can use '(not) as' + adjective/adverb + 'as' to introduce a clause (often with a substitute auxiliary verb) to talk about two things being equal or unequal in some way.,"When I come back from the hospital, I will try to cover the work as much as I can.",
441,B1,CLAUSES,comparatives,FORM: 'TOO' + 'TO'-INFINITIVE ,Can use 'too' + adjective + 'to'-infinitive.,"First of all, I think you are too young to go on holiday by yourself.",
442,B1,CLAUSES,comparatives,FORM/USE: 'THE BEST (THAT)',Can use 'the best (that)' followed by a clause with the present perfect to talk about something unique.,It's the best place that I have ever seen.,
443,B1,CLAUSES,comparatives,FORM: 'THE SAME' (+ NOUN) + 'AS' + PRONOUN OR NOUN,Can use 'the same' (+ noun) + 'as' + pronoun or noun.,"I wasn't the only one in my class, there were many others at the same level as me.",
444,B1,CLAUSES,comparatives,FORM: 'SO' + ADJECTIVE + 'THAT' CLAUSE,Can use 'so' + adjective + 'that' clause.,I was so tired that I didn't have the strength to stand up and ask him for a photograph.,
445,B1,CLAUSES,comparatives,FORM: SENSE VERBS + 'AS IF' OR 'AS THOUGH' + FINITE CLAUSE,Can use verbs of the senses + 'as if' or 'as though' + finite clause.,I was excited and I felt as if I was a bird.,
446,B1,CLAUSES,comparatives,FORM: LINKING VERB + 'LIKE' OR 'SIMILAR TO',Can use linking verbs + 'like' or 'similar to'.,Some people have told me that I look like a pop star when I wear it.,
447,B1,CLAUSES,conditional,"FORM/USE: PRESENT SIMPLE 'IF' CLAUSE + MODAL, FUTURE, POSSIBLE OUTCOME","Can use 'if' + present simple to introduce a possible future condition, with modal verbs in the main clause, to talk about a possible result. ► modality",I think that it would be very good if you start going to the gym or you start cycling.,
448,B1,CLAUSES,conditional,"FORM/USE: PRESENT SIMPLE 'IF' CLAUSE + 'WILL', FUTURE, LIKELY OUTCOME (FIRST CONDITIONAL)","Can use 'if' + present simple to introduce a possible future condition, with 'will' in the main clause to talk about a likely result.","I talked to my parents and I think if you tell them your reasons, they will accept it.",
449,B1,CLAUSES,conditional,"FORM/USE: PRESENT CONTINUOUS 'IF' CLAUSE , PLANS & ADVICE","Can use 'if' + present continuous or 'going to' to introduce a possible plan, with modal verbs or imperatives in the main clause to give advice.","Billy, if you are moving you should think a lot, first you have to go and see the two schools.",
450,B1,CLAUSES,conditional,"FORM/USE: 'IF' + PAST SIMPLE + 'WOULD', FUTURE, IMAGINED SITUATION|(SECOND CONDITIONAL)","Can form conditional subordinate clauses with 'if' + past simple, and would in the main clause, to talk about an imagined situation, often in the context of advice or opinion-giving.",Maybe it would be more fun if you went with your friends.,
451,B1,CLAUSES,conditional,"FORM/USE: 'IF' + PAST PERFECT + 'WOULD HAVE' + '-ED', IMAGINED SITUATION, REGRET|(THIRD CONDITIONAL)","Can form conditional subordinate clauses with 'if' + past perfect simple and 'would have' + '-ed' in the main clause, to talk about imagined situations in the past, often with regret.","If they had not been there, I would have been very lonely.",
452,B1,CLAUSES,conditional,"FORM/USE: 'IF' + PAST SIMPLE + 'COULD', FUTURE, IMAGINED SITUATION","Can form conditional subordinate clauses with 'if' + past simple, and 'could' in the main clause to talk about an imagined situation, often in the context of suggesting.","If you wanted to do some outdoor activities, we could go fishing or even walking through the green fields.",
453,B1,CLAUSES,conditional,"FORM/USE: 'IF I WERE YOU' + 'WOULD', FUTURE, IMAGINED SITUATION",Can use 'if I were you' and 'would' in the main clause often in the context of advice or opinion-giving.,"Well, if I were you I would go to a small school in the countryside because it's less complicated than going to a large school in a town.",
454,B1,CLAUSES,conditional,"FORM/USE: 'UNLESS', EXCEPTIONS","Can use 'unless' + present simple to talk about an exception, with present and future reference.","I think I am going to pay by cash, unless you accept credit cards.",
455,B1,CLAUSES,conditional,"FORM/USE: ELLIPTED 'IF NOT', ALTERNATIVE ",Can use 'If not' as a conditional clause to offer an alternative to refer to a previous direct or indirect 'yes-no' question where the answer might be ‘no’.,"Is the Sheraton Hotel ok for you? If not, call me as soon as possible.",
456,B1,CLAUSES,conditional,"FORM/USE: ELLIPTED 'IF SO', CONFIRMING",Can use 'If so' as a conditional clause to refer a previous direct or indirect 'yes-no' question where the answer might be ‘yes’. ► Clauses coordinated,"Do you think we could have an extra class? If so, I'd like to do it to cover the work I'll miss.",
457,B1,CLAUSES,coordinated,FORM: COMBINING CLAUSES OF THE SAME TYPE,"Can combine clauses of the same type, main or subordinate, finite or non-finite, with conjunctions.","You will have a great time with your friends, because I know they are going to the seaside and staying in a hotel near the sea. (Georgia (Republic of); B1 THRESHOLD; 2008; Georgian; Pass)",
458,B1,CLAUSES,coordinated,"FORM/USE: MULTIPLE MAIN CLAUSES, NARRATIVE","Can combine multiple main clauses with a range of conjunctions, often in a narrative context.","By the time his mother arrived home, the suitcase was still lost, so Larry decided to tell her the truth, but then his mother showed him his suitcase and told Larry that he left it in the car.",
459,B1,CLAUSES,coordinated,FORM: 'EITHER … OR',"Can combine two main clauses of the same type using 'either' in front or mid position, followed by 'or' to introduce the second clause.","Regarding your future plans, we would like to know which city you are going to move to, so that if we get the chance, we can either visit you or write to you.",
460,B1,CLAUSES,declarative,"FORM/USE: AUXILIARY 'DO', FOR EMPHASIS","Can use the auxiliary verb 'do' in an affirmative declarative clause, for emphasis and affirmation.","Yes, I do have a favorite restaurant.",
461,B1,CLAUSES,imperatives,"FORM/USE: 'DO', EMPHASIS","Can use 'do' + base form of a main verb, for emphasis or in formal contexts.",Do write back and let me know all your news.,
462,B1,CLAUSES,imperatives,USE: INVITATION,Can use the imperative to make an offer or an invitation.,"Come and visit us after the New Year, we've got so much to talk about.",
463,B1,CLAUSES,imperatives,"FORM/USE: 'LET ME', FOCUS","Can use an imperative clause with 'let me' + base form of a main verb, as a focusing device, to introduce something",Let me tell you my story.,
464,B1,CLAUSES,interrogatives,"FORM: 'WH-' INTERROGATIVE, SUBJECT","Can form questions with a 'wh-' word as subject, without an auxiliary verb.",What happened?,
465,B1,CLAUSES,interrogatives,FORM: INTERROGATIVE + ADVERB,"Can form interrogative clauses with an adverb in mid position, between the subject and the main verb.",Have you ever been to Marseille?,
466,B1,CLAUSES,interrogatives,"FORM: 'WHICH', 'WHOSE'",,,
467,B1,CLAUSES,phrases/exclamations,FORM: 'HOW' + ADJECTIVE,Can use 'How' + adjective.,How exciting!,
468,B1,CLAUSES,phrases/exclamations,FORM: 'HOW' + ADJECTIVE + CLAUSE,Can use 'How' + adjective + clause.,How lucky you are to have visited that exhibition!,
469,B1,CLAUSES,relative,"FORM/USE: 'THE' + NOUN + 'WHO/THAT', FOCUS","Can use defining relative clauses, 'the person who/that, the thing that, the (only) one who/that' as a focusing device.",The thing that was great is that the weather was really warm and it didn't rain.,
470,B1,CLAUSES,relative,"FORM: WITH 'WHERE', PLACE",Can use defining relative clauses with 'where' to define nouns referring to place.,The city where I live is very nice and extremely charming.,
471,B1,CLAUSES,relative,"FORM/USE: 'WHEN', FOCUS",Can use defining relative clauses with 'when' to define nouns relating to time.,"The day when he had to go back to Korea, I could not stop myself crying.",
472,B1,CLAUSES,relative,"FORM: NON-DEFINING, OBJECT, WITH 'WHO'",Can use a non-defining relative clause with 'who' as the object.,"What I liked most was the friend I made there, a green-eyed chubby boy, who I played with till dinner time, when I had to go home.",
473,B1,CLAUSES,relative,"FORM/USE: 'THE REASON WHY', FOCUS","Can use defining relative clauses with 'why' after 'reason', to give an explanation and for focus.",The reason why I love it is that it's quite original because it's about a woman who can see ghosts.,
474,B1,CLAUSES,relative,"FORM: DEFINING, OBJECT, WITH 'WHO/THAT'",Can use a defining relative clause with 'who' or 'that' as the object.,My friends are the people who I love most.,
475,B1,CLAUSES,relative,FORM: WITH 'WHOSE NAME',Can use defining and non-defining relative clauses with 'whose name'.,We have a new employee whose name is Mary Watts.,
476,B1,CLAUSES,subordinated,FORM/USE: CONTRAST,"Can use a finite subordinate clause with conjunctions ('even though, (al)though, while if') to introduce contrast, before or after a main clause.",You should come with your sister even though you would rather be alone.,
477,B1,CLAUSES,subordinated,FORM/USE: REASON,"Can use a finite subordinate clause with conjunctions to introduce reasons, after a main clause.","I prefer to speak on 14 July, as I have got another appointment on the next day.",
478,B1,CLAUSES,subordinated,"FORM/USE: PURPOSE, RESULT","Can use a finite subordinate clause with conjunctions ('so (that), in order that') to introduce purpose and result, after a main clause.","I think it is important to write about this topic so that young students and other people who are working with business, can get some inspiration.",
479,B1,CLAUSES,subordinated,FORM/USE: NON-FINITE WITH '-ING',"Can use a non-finite subordinate clause with 'before' and 'after' + '-ing', before or after a main clause, to refer to time.",Instead I buy books once a month and I read them in the evening before going to bed.,
480,B1,CONJUNCTIONS,coordinating,FORM: 'EITHER … OR',"Can use 'either … or' to connect two words, phrases or clauses.","The men wear suits, either white or black, and the bride and women wear special long dresses, usually the same colour.",
481,B1,CONJUNCTIONS,coordinating,FORM/USE: 'PLUS' WITH CLAUSES,"Can use 'plus' to connect clauses and sentences, often to point out a positive addition or advantage.","I would be more than pleased to receive you at home, it's not too big, but we could have a lot of fun, plus you won't have to pay a thing!",
